peak_id,apex_time,apex_signal,start_time,end_time,width_samples,height,prominence,snr,peak_area,confidence_percent
peak_1,1.5192012751593948,230.06805820352437,1.2625325665708211,1.8174919364920612,80.0,240.88158673523333,238.9743602632562,3.8505485435434808,57.44869216904833,67.0
peak_2,2.476506188273534,151.46361909428802,2.393262282785348,2.5528131016377045,23.0,157.63703096235207,150.37609662104308,4.1833093914971275,10.04793762662397,25.5
peak_3,3.1077724715589445,183.9221670002015,2.989843605450681,3.2187643455431925,33.0,191.11748432760493,187.76549557344393,3.5073148897769406,17.191421737289534,31.7
peak_4,4.474359919989999,318.7550728303174,4.189943242905363,4.848957494686835,95.0,331.24532715639293,330.8651420451936,3.76486127141351,82.24997050963373,93.2
peak_5,5.889506313289161,201.2617043263141,5.778514439304913,5.9519392424053,25.0,215.74035544909998,212.45435092737605,5.853268150626595,11.188388023065217,46.4
peak_6,7.519699462432803,223.10679166652034,7.179786848356044,7.790242155269408,88.0,244.429767355207,243.4457243386826,3.520786777840863,59.65452795420612,68.1
peak_7,10.585849981247655,158.8958759642866,10.5164800600075,10.648282910363797,19.0,167.78690809502945,161.517897127489,3.574573143117823,9.039284245348558,22.1
peak_8,11.425226028253531,193.288555514482,11.3211711463933,11.529280910113764,30.0,202.666282069209,201.0528258844472,3.6893098672332427,18.880847023383062,34.8
peak_9,12.146673209151142,13.064859612223032,12.04261832729091,12.250728091011377,30.0,21.857,21.857,0.158,0.931,4.7
peak_10,12.812624453056632,265.0599898228439,12.729380547568445,12.902805350668832,25.0,269.15399096726014,261.5260316254192,4.778753192890979,20.630538857949304,51.2
peak_11,13.707496437054631,367.3624543101365,13.596504563070384,13.804614326790848,30.0,369.6183502838985,369.3913023535893,3.977750933512651,28.722390309686826,66.9
peak_12,14.630116389548691,174.71964741370243,14.546872484060506,14.720297287160896,25.0,180.04857744658477,173.9039524151849,4.471032737786877,11.553975887017124,31.9
peak_13,15.740035129391172,290.5256491471325,15.476429428678584,16.02445180647581,79.0,301.11961043698636,299.4514867982955,2.7898416387197997,74.63455878714149,75.9
peak_14,16.4684193024128,181.98105202897747,16.412923365420678,16.523915239404925,16.0,188.92517763385322,183.53401171856984,5.141847289602882,9.541193673067614,34.8
peak_15,17.91825065633204,258.3883060449209,17.56446405800725,18.27203725465683,102.0,271.77432774977297,271.3091334883861,3.5081234524876828,83.20593596907644,84.0
peak_16,19.576191773971743,231.80804512744194,19.513758844855605,19.638624703087885,18.0,240.95160683702622,240.51680836601273,5.182779856507291,13.370018127001716,45.7
peak_17,20.096466183272906,184.10044409789884,20.040970246280786,20.158899112389047,17.0,194.71205050533376,190.3229990280927,3.9109947593417855,10.683340643517125,28.8
peak_18,21.65035241905238,7.106981052736182,21.546297537192142,21.75440730091261,30.0,21.064,21.064,0.026,0.535,4.7
peak_19,23.523340292536567,320.67641524170534,23.349915489436174,23.682891111388923,48.0,330.0050091915083,328.9362572091066,4.226447253928759,47.36517356028544,72.8
peak_20,24.28640942617827,14.485534121023978,24.18235454431804,24.390464308038503,30.0,23.023,23.023,0.489,1.215,4.7
peak_21,25.340832229028628,281.1654035502281,25.07722652831604,25.590563945493184,74.0,288.29133984514755,286.27793347063647,3.857368014455689,65.97370017121429,76.3
peak_22,26.36750706338292,5.460476435042278,26.263452181522688,26.471561945243156,30.0,13.909,13.909,0.0,0.464,4.7
peak_23,26.9848993624203,170.68155353891697,26.92246643330416,27.03345830728841,16.0,174.97228887493316,172.55311225163575,5.166190438569918,8.628107272238921,32.7
peak_24,28.122566070758843,266.9113025303428,27.69247255906988,28.469415676959617,112.0,279.1569447982743,272.2973941167375,2.7691865521185233,96.6151561186881,87.1
peak_25,29.537712464058004,376.1844200591547,29.32960270033754,29.69726328291036,53.0,394.11372096915346,394.1535976994532,4.643773722698773,57.24784670433017,90.4
peak_26,30.772497062132764,285.4825765982437,30.60600925115639,30.925110888861106,46.0,303.83366958872,303.5186700981893,3.9180299173280138,41.0820004374396,64.1
peak_27,31.660432054006748,260.980375891989,31.59799912489061,31.729801975246904,19.0,270.4567095902405,265.7381184062902,5.695110779707749,14.395698323155274,53.8
peak_28,32.63854794349293,280.1946613127739,32.37494224278034,32.89521665208151,75.0,294.4313150223878,291.8472829571921,3.55205321954201,71.07688789619114,77.3
peak_29,33.71378172271534,5.523907504636781,33.6097268408551,33.81783660457557,30.0,19.052,19.052,0.427,1.1,4.7
peak_30,35.11505413176647,257.78087357189554,34.74045655706963,35.45496674584323,103.0,270.32215106089313,269.24123986299776,3.6579312973432945,92.56844042419823,88.3
peak_31,36.821554194274285,206.02764292581338,36.75912126515814,36.88398712339042,18.0,210.61006938784894,203.43948598343292,5.341513697574428,11.107451174249178,40.4
peak_32,37.32795461932741,8.743968291551086,37.22389973746718,37.43200950118764,30.0,20.58,20.58,0.0,0.309,4.7
peak_33,38.417062382797845,231.47844304211216,38.34075546943368,38.50030628828603,23.0,246.97952474594217,230.20445257235016,5.622485341872888,13.301917474666183,49.1
peak_34,39.39517827228404,329.8677481621358,39.1107615951994,39.53391811476434,61.0,353.4879168483602,353.3571770937058,4.163010746992661,29.801297047087935,72.9
peak_35,40.40104213026628,354.30583712638315,40.21374334291786,40.59527790973871,55.0,380.00224727532964,379.8524308165233,4.03324217721126,56.62586997285618,84.6
peak_36,41.19185923240405,0.25454773774288286,41.08780435054381,41.29591411426428,30.0,22.705,22.705,0.125,0.419,4.7
peak_37,41.98267633454181,300.29790893874923,41.8855584448056,42.072857232154014,27.0,314.4909865536424,307.6867852136991,5.169669773754982,24.81268298630169,62.9
peak_38,42.67637554694336,202.13510239664924,42.56538367295912,42.77349343667958,30.0,217.58471248536955,215.2844931115229,3.9790353064565855,19.663142057816174,39.2
peak_39,43.31457882235279,-0.8467935170490168,43.21052394049256,43.41863370421302,30.0,16.137,16.137,0.0,0.646,4.7
peak_40,44.14008088511064,160.8459560524989,44.036026003250406,44.25107275909488,31.0,175.9208076101969,175.0009014564565,4.5312703678132396,14.619910594719789,34.5
peak_41,44.95864595574447,179.46333464004863,44.86152806600825,45.05576384548068,28.0,193.5904177559361,189.15334997139846,4.281504284420986,16.663533414163506,35.6
peak_42,46.963436679584944,259.08057626891195,46.67902000250031,47.22704238029753,79.0,269.4611231956263,268.1276650622015,3.4425143450962086,63.089855796757085,70.8
peak_43,48.46182697837229,254.5429671539346,48.39939404925615,48.52425990748844,18.0,260.2105789901617,252.02594054329242,6.131034396560502,14.031287332005848,54.2
peak_44,49.80066645830728,266.4424941905877,49.43300587573447,50.27238192274034,121.0,281.55253167040223,281.02438790751324,3.2254326749607487,94.50387675721718,92.2
peak_45,51.79852019002375,324.2035649589222,51.527977497187145,52.07599987498437,79.0,340.59554994591076,340.3743670986371,3.705617570883033,84.59631990288496,91.6
peak_46,52.956997874734334,4.232867591188889,52.852942992874105,53.06105275659457,30.0,21.256,21.256,1.007,0.762,4.7
peak_47,53.71313001625202,150.72598832107607,53.62294911863982,53.83105888236029,30.0,165.51122446217096,164.7393918772538,3.9832154720865125,12.887329105155576,28.6
peak_48,54.79530078759844,159.04424711630512,54.69124590573821,54.920166645830726,33.0,173.81821815434694,169.47455536011395,3.8755589985597783,16.284982791662767,30.9
