peak_id,apex_time,apex_signal,start_time,end_time,width_samples,height,prominence,snr,peak_area,confidence_percent
peak_1,1.5052081510188775,272.33054027096375,1.0399619952494061,1.9772961620202525,137.0,272.3301242810038,272.3301242810038,3.800262229655027,102.3073265860438,99.4
peak_2,3.694601825228154,295.9853425669939,3.359350918864858,4.036694586823353,99.0,295.9844069764211,295.9844069764211,3.979159188636314,80.37690236301471,88.3
peak_3,5.008238029753719,231.3410761456995,4.939819477434679,5.083498437304663,21.0,231.3261496281224,231.3261496281224,4.465183432569888,13.563352990416703,36.2
peak_4,5.521377172146519,0.0,5.384540067508438,5.658214276784598,40.0,0.0,0.0,0.0,0.0,5.6
peak_5,6.445027628453557,161.74420618109042,6.3150323790473815,6.58870658832354,40.0,161.7411461184875,161.7411461184875,3.606792687886011,17.630040422450133,23.0
peak_6,7.0129016127015875,202.9008920585648,6.876064508063508,7.149738717339668,40.0,202.8969857440429,202.89697266345144,3.974477856246952,21.912227501723677,35.0
peak_7,7.827082385298162,223.19847396562366,7.505515189398675,8.155491436429553,95.0,223.1977451195509,223.1977451195509,2.7113633773363155,58.421159863292736,57.5
peak_8,8.798625828228529,0.0,8.66178872359045,8.935462932866608,40.0,0.0,0.0,0.0,0.0,5.6
peak_9,9.626490311288912,157.34767301764248,9.530704338042256,9.729118139767472,29.0,157.34158155803289,157.34158155803289,4.2335733527536314,12.030379376347025,21.3
peak_10,10.24225728216027,207.43832081215004,10.166996874609326,10.31067583447931,21.0,207.42352318559355,207.42352318559355,3.9921135905363823,11.647497001115582,27.8
peak_11,10.9811776472059,175.97361488406926,10.84434054256782,11.118014751843981,40.0,175.97023605849432,175.97023605849432,4.0530476477992385,19.012642496096387,29.1
peak_12,12.595855481935242,313.9706571826253,12.397441680210026,12.787427428428554,57.0,313.967522613363,313.967522613363,4.0655991420272475,48.3297285790871,71.2
peak_13,13.211622452806601,203.86593046585514,13.143203900487562,13.286882860357546,21.0,203.852748728149,203.852748728149,4.741066426340897,11.920921412752302,31.8
peak_14,14.176324040505063,259.31177726941837,14.10106363295412,14.251584448056008,22.0,259.294578652591,259.294578652591,5.725099845174624,15.110897452540678,50.3
peak_15,14.66893761720215,0.0,14.532100512564071,14.80577472184023,40.0,0.0,0.0,0.0,0.0,5.6
peak_16,15.551536942117766,182.2490993837769,15.428383547943493,15.674690336292038,36.0,182.24454292846792,182.24454292846792,3.776051620874032,17.727860619224934,27.2
peak_17,16.167303912989123,0.0,16.030466808351044,16.304141017627202,40.0,0.0,0.0,0.0,0.0,5.6
peak_18,16.926749843730466,178.44402912634723,16.858331291411428,17.002010251281412,21.0,178.4318977342248,178.4318977342248,4.7757084025837875,10.232369423323686,26.3
peak_19,18.384065008126015,234.5774863601562,18.055655956994624,18.712474059257406,96.0,234.57674205109817,234.57674205109817,4.045322531646437,61.46694968507158,69.2
peak_20,19.31455731966496,151.7120076808631,19.191403925490686,19.43771071383923,36.0,151.7081940856579,151.7081940856579,4.1624242587203675,14.720238597564906,22.4
peak_21,20.580300537567197,299.47240558034133,20.470830853856732,20.682928366045758,31.0,299.4622958425477,299.4622958425477,4.477053283663362,24.820360312967356,56.3
peak_22,22.242871358919867,306.5082015897253,21.90762045255657,22.584964120515064,99.0,306.50722119395806,306.50722119395806,3.932353610932204,83.23098454955073,91.1
peak_23,24.035437429678712,252.8316189514388,23.563349418677337,24.507525440680087,138.0,252.8312260600881,252.8312260600881,3.940893468855597,95.13125484690514,94.1
peak_24,25.43801775221903,189.35561555849674,25.30118064758095,25.574854856857108,40.0,189.35197245060832,189.35197245060832,3.947311697625109,20.452818614193262,31.6
peak_25,26.47113789223653,170.45801114865375,26.395877484685588,26.553240155019378,23.0,170.44797104344534,170.44797104344534,4.679498042279365,10.521840684396953,24.7
